Season,Thermal preference,Thermal comfort,Air temperature,Relative humidity,Outdoor air temperature
4,1,5.0,24.2,50.2,25.0
4,0,5.0,24.2,50.2,25.0
4,0,6.0,24.2,50.2,25.0
4,0,4.0,24.2,50.2,25.0
4,0,6.0,24.2,50.2,25.0
4,0,5.0,24.2,50.2,25.0
4,0,4.0,24.2,50.2,25.0
4,-1,3.0,24.2,50.2,25.0
4,0,5.0,24.2,50.2,25.0
4,0,5.0,24.2,50.2,25.0
4,0,5.0,24.2,50.2,25.0
4,0,4.0,24.2,50.2,25.0
4,0,5.0,24.2,50.2,25.0
4,-1,4.0,24.2,50.2,25.0
4,0,5.0,24.2,50.2,25.0
4,0,4.0,24.2,50.2,25.0
4,1,4.0,24.2,50.2,25.0
4,0,3.0,24.2,50.2,25.0
4,-1,3.0,23.6,51.5,25.0
4,1,5.0,23.6,51.5,25.0
4,0,4.0,23.6,51.5,25.0
4,0,5.0,23.6,51.5,25.0
4,0,4.0,23.6,51.5,25.0
4,0,5.0,23.6,51.5,25.0
4,0,5.0,23.6,51.5,25.0
4,-1,2.0,23.6,51.5,25.0
4,0,4.0,23.6,51.5,25.0
4,0,5.0,23.6,51.5,25.0
4,0,5.0,23.6,51.5,25.0
4,-1,5.0,23.6,51.5,25.0
2,0,3.0,26.9,72.8,18.0
2,0,5.0,26.9,72.8,18.0
2,1,3.0,26.9,72.8,18.0
2,0,3.0,26.9,72.8,18.0
2,-1,4.0,26.9,72.8,18.0
2,0,4.0,26.9,72.8,18.0
2,-1,4.0,26.9,72.8,18.0
2,-1,3.0,26.9,72.8,18.0
2,-1,3.0,26.9,72.8,18.0
2,0,4.0,26.9,72.8,18.0
2,0,3.0,26.9,72.8,18.0
2,0,3.0,26.9,72.8,18.0
2,1,4.0,26.9,72.8,18.0
2,-1,3.0,26.9,72.8,18.0
2,-1,3.0,26.9,72.8,18.0
2,0,3.0,26.9,72.8,18.0
2,0,4.0,26.9,72.8,18.0
2,0,4.0,26.9,72.8,18.0
2,-1,3.0,26.9,72.8,18.0
2,-1,5.0,26.9,72.8,18.0
2,-1,4.0,26.9,72.8,18.0
2,0,5.0,26.9,72.8,18.0
2,0,4.0,26.9,72.8,18.0
2,-1,5.0,26.9,72.8,18.0
2,-1,6.0,26.9,72.8,18.0
2,-1,3.0,26.9,72.8,18.0
2,-1,5.0,26.9,72.8,18.0
2,0,4.0,26.9,72.8,18.0
2,0,4.0,26.9,72.8,18.0
2,0,3.0,26.9,72.8,18.0
2,-1,3.0,26.9,72.8,18.0
2,0,3.0,26.9,72.8,18.0
2,-1,4.0,26.9,72.8,18.0
2,0,4.0,26.9,72.8,18.0
2,-1,4.0,26.9,72.8,18.0
4,-1,4.0,24.3,35.3,31.7
4,-1,4.0,24.5,35.0,31.7
4,-1,3.0,24.3,35.0,31.7
4,-1,3.0,24.5,34.4,31.7
4,-1,3.0,24.4,34.1,31.7
4,-1,3.0,24.5,34.1,31.7
4,-1,3.0,24.1,34.8,31.7
4,0,5.0,24.2,38.7,32.8
4,0,5.0,24.3,38.3,32.8
4,1,2.0,23.8,43.8,32.8
4,1,4.0,23.7,43.7,32.8
4,0,4.0,23.9,40.4,32.8
4,1,2.0,23.8,43.6,32.8
4,1,2.0,23.8,42.3,32.8
4,1,4.0,23.8,42.8,32.8
4,0,5.0,23.9,35.9,32.8
4,1,3.0,23.8,44.3,32.8
4,0,6.0,24.3,37.6,28.9
4,0,6.0,24.4,43.5,28.9
4,0,6.0,24.1,38.1,28.9
4,0,6.0,23.9,39.2,28.9
4,0,6.0,23.8,39.2,28.9
4,0,6.0,24.3,38.0,28.9
4,0,6.0,23.7,38.3,28.9
4,1,6.0,24.1,38.0,28.9
4,0,6.0,24.3,38.5,28.9
4,0,6.0,24.0,38.4,28.9
4,0,6.0,24.1,39.5,28.9
4,-1,4.0,24.1,37.9,31.7
4,-1,3.0,23.8,39.4,31.7
4,-1,3.0,23.6,39.4,31.7
4,-1,3.0,23.8,41.4,31.7
4,-1,5.0,24.8,36.9,31.7
4,-1,5.0,24.3,42.6,31.7
4,-1,4.0,24.1,43.6,31.7
4,0,5.0,24.0,44.1,31.7
4,-1,4.0,24.6,34.5,31.7
