Season,Thermal comfort,Air temperature,Relative humidity,Outdoor air temperature
4,4.0,26.2,30.8,32.8
4,3.0,24.1,34.8,31.7
4,3.0,23.8,42.1,32.8
4,3.0,23.9,35.6,28.9
4,3.0,22.6,37.6,28.9
4,3.0,23.2,45.2,28.9
1,5.0,28.2,48.0,30.8
1,4.0,24.6,46.0,30.8
1,4.0,24.6,46.0,30.8
1,4.0,24.6,46.0,30.8
1,4.0,24.9,51.0,30.8
1,4.0,24.9,51.0,30.8
1,4.0,25.1,50.0,30.8
1,4.0,25.1,50.0,30.8
1,4.0,25.1,50.0,30.8
1,4.0,25.1,50.0,30.8
1,5.0,27.8,46.0,30.8
1,5.0,27.8,46.0,30.8
1,5.0,27.8,46.0,30.8
1,5.0,27.4,43.0,30.8
1,5.0,27.4,43.0,30.8
3,4.0,25.3,50.0,30.4
3,5.0,28.3,44.0,30.4
3,5.0,28.3,44.0,30.4
3,5.0,28.3,44.0,30.4
3,5.0,28.3,44.0,30.4
3,5.0,28.3,44.0,30.4
3,5.0,28.3,44.0,30.4
3,5.0,27.2,69.0,30.4
3,5.0,27.2,69.0,30.4
3,5.0,27.2,69.0,30.4
3,5.0,27.2,69.0,30.4
3,5.0,27.2,69.0,30.4
3,3.0,23.2,69.0,30.4
3,3.0,23.2,69.0,30.4
3,3.0,23.2,69.0,30.4
3,3.0,23.2,69.0,30.4
3,3.0,23.2,69.0,30.4
3,5.0,27.0,52.0,30.4
3,5.0,27.0,52.0,30.4
3,5.0,27.0,52.0,30.4
3,5.0,27.0,52.0,30.4
3,5.0,29.2,48.0,30.4
3,7.0,33.2,69.0,30.4
3,7.0,33.2,69.0,30.4
3,7.0,33.2,69.0,30.4
3,7.0,33.2,69.0,30.4
3,7.0,33.2,69.0,30.4
3,4.0,26.3,60.0,30.4
3,4.0,26.3,60.0,30.4
3,4.0,26.3,60.0,30.4
3,4.0,26.3,60.0,30.4
3,4.0,26.6,50.0,30.4
3,4.0,26.6,50.0,30.4
3,4.0,26.6,50.0,30.4
3,4.0,26.6,50.0,30.4
3,6.0,32.3,64.0,30.4
3,7.0,34.0,56.0,30.4
3,7.0,34.0,56.0,30.4
3,7.0,34.0,56.0,30.4
3,4.0,25.8,53.0,30.4
3,7.0,33.9,56.0,30.4
3,7.0,34.4,58.0,30.4
3,7.0,33.7,62.0,30.4
3,7.0,33.7,62.0,30.4
3,7.0,33.7,62.0,30.4
3,7.0,33.7,62.0,30.4
3,7.0,35.2,55.0,30.4
3,7.0,35.2,55.0,30.4
3,4.0,25.6,46.0,30.4
3,4.0,25.6,46.0,30.4
3,4.0,25.6,46.0,30.4
3,4.0,25.4,46.0,30.4
3,4.0,25.4,46.0,30.4
3,4.0,25.4,46.0,30.4
3,4.0,25.4,46.0,30.4
3,4.0,25.4,46.0,30.4
3,5.0,26.5,48.0,30.4
3,5.0,26.5,48.0,30.4
3,5.0,26.5,48.0,30.4
3,4.0,26.0,48.0,30.4
3,4.0,26.0,48.0,30.4
3,4.0,26.0,48.0,30.4
3,6.0,29.5,56.0,30.4
3,3.0,23.0,55.0,30.4
3,3.0,23.0,55.0,30.4
3,3.0,23.0,55.0,30.4
3,3.0,23.0,55.0,30.4
3,3.0,23.0,55.0,30.4
3,6.0,30.8,58.0,30.4
3,6.0,30.8,58.0,30.4
3,5.0,28.0,42.0,30.4
3,5.0,28.1,51.0,30.4
3,5.0,27.9,52.0,30.4
3,5.0,28.5,45.0,30.4
3,5.0,28.5,45.0,30.4
3,5.0,27.5,48.0,30.4
3,5.0,27.5,48.0,30.4
3,5.0,27.5,48.0,30.4
3,4.0,25.8,44.0,30.4
3,5.0,26.9,46.0,30.4
3,5.0,27.3,53.0,30.4
4,4.0,26.6,41.0,38.1
4,4.0,26.6,41.0,38.1
4,5.0,27.6,48.0,38.1
4,5.0,27.6,48.0,38.1
4,5.0,27.6,48.0,38.1
4,5.0,27.9,51.0,38.1
4,5.0,27.2,50.0,38.1
4,5.0,27.4,55.0,38.1
4,4.0,24.5,50.0,38.1
4,4.0,24.3,51.0,38.1
4,4.0,24.3,51.0,38.1
4,4.0,24.3,51.0,38.1
4,4.0,24.3,51.0,38.1
4,4.0,24.3,51.0,38.1
4,5.0,28.2,50.0,38.1
4,5.0,28.2,50.0,38.1
4,5.0,28.4,48.0,38.1
4,5.0,28.4,48.0,38.1
4,4.0,23.5,42.0,38.1
4,5.0,27.5,36.0,38.1
4,5.0,28.1,39.0,38.1
4,5.0,28.1,39.0,38.1
4,4.0,25.1,40.0,38.1
4,4.0,25.1,39.0,38.1
4,5.0,27.5,57.0,38.1
4,5.0,27.5,57.0,38.1
4,5.0,27.5,57.0,38.1
4,5.0,27.5,57.0,38.1
4,5.0,27.5,57.0,38.1
4,5.0,26.7,60.0,38.1
4,5.0,26.7,60.0,38.1
4,5.0,26.6,61.0,38.1
4,4.0,25.1,60.0,38.1
4,5.0,27.3,49.0,38.1
4,4.0,25.1,50.0,38.1
4,4.0,23.5,52.0,38.1
4,4.0,23.5,52.0,38.1
4,4.0,25.1,40.0,38.1
4,5.0,26.7,61.0,38.1
4,5.0,26.7,61.0,38.1
4,5.0,27.4,63.0,38.1
4,5.0,27.7,57.0,38.1
